date,run_local_time,issue_local_time,issued_day_utc,mae_forecast,mae_lstm,rmse_forecast,rmse_lstm,mae_improvement_lstm_vs_forecast,rmse_improvement_lstm_vs_forecast,avg_actual_wind_speed,avg_forecast_wind_speed,avg_lstm_wind_speed,n_points,details_csv,snapshot_csv,evaluation_type,data_source
2026-04-27,2026-06-09T11:09:24.580840+02:00,2026-04-25T07:02:19.304000+02:00,2026-04-25,2.0164473684210527,1.4069075516441412,2.353186872729634,1.6644785582505315,0.6095398167769115,0.6887083144791024,4.162719298245615,5.833333333333333,4.086154232422511,24,next_day_wind_model/artifacts/daily_error_details/20260427_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260426-071720_target_20260427.csv,day_ahead_frozen,prediction_log
2026-04-28,2026-06-09T11:09:24.580840+02:00,2026-04-26T07:02:20.711000+02:00,2026-04-26,3.03015350877193,2.0490351515903806,3.4371983624897897,2.495339479865998,0.9811183571815492,0.9418588826237917,7.561513157894737,10.583333333333334,9.331392784913382,24,next_day_wind_model/artifacts/daily_error_details/20260428_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260427-071722_target_20260428.csv,day_ahead_frozen,prediction_log
2026-04-29,2026-06-09T11:09:24.580840+02:00,2026-04-27T07:02:20.602000+02:00,2026-04-27,3.7347587719298247,2.0735328569746856,3.8673630922925977,2.293842056037083,1.6612259149551392,1.5735210362555145,7.556907894736842,11.291666666666666,9.630440751711527,24,next_day_wind_model/artifacts/daily_error_details/20260429_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260428-071726_target_20260429.csv,day_ahead_frozen,prediction_log
2026-04-30,2026-06-09T11:09:24.580840+02:00,2026-04-28T07:02:21.360000+02:00,2026-04-28,4.846162280701754,3.994287790122785,5.099876515940296,4.290182488051304,0.851874490578969,0.8096940278889919,6.070504385964912,10.916666666666666,10.064792176087698,24,next_day_wind_model/artifacts/daily_error_details/20260430_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260429-071726_target_20260430.csv,day_ahead_frozen,prediction_log
2026-05-01,2026-06-09T11:09:24.580840+02:00,2026-04-29T07:02:20.621000+02:00,2026-04-29,3.5407894736842103,2.3744538611487336,3.934341736355687,2.6661622129307525,1.1663356125354767,1.2681795234249345,4.625877192982457,8.041666666666666,6.29010882973671,24,next_day_wind_model/artifacts/daily_error_details/20260501_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260430-071728_target_20260501.csv,day_ahead_frozen,prediction_log
2026-05-02,2026-06-09T11:09:24.580840+02:00,2026-04-30T07:02:20.898000+02:00,2026-04-30,2.9831140350877194,1.866259537297383,3.504273871250306,2.2764806024135456,1.1168544977903365,1.2277932688367605,3.350219298245614,5.208333333333333,3.650386318564415,24,next_day_wind_model/artifacts/daily_error_details/20260502_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260501-072140_target_20260502.csv,day_ahead_frozen,prediction_log
2026-05-03,2026-06-09T11:09:24.580840+02:00,2026-05-01T07:02:44.945000+02:00,2026-05-01,3.2898391812865495,1.970577058213496,3.8720003150073805,2.8044725234715364,1.3192621230730535,1.067527791535844,3.5851608187134505,6.625,4.667580793301265,24,next_day_wind_model/artifacts/daily_error_details/20260503_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260502-072142_target_20260503.csv,day_ahead_frozen,prediction_log
2026-05-04,2026-06-09T11:09:24.580840+02:00,2026-05-02T07:02:48.495000+02:00,2026-05-02,2.785635964912281,2.1569072195312433,3.1389759958306054,2.8066502953298325,0.6287287453810375,0.3323257005007729,4.506030701754386,5.75,4.309203952550888,24,next_day_wind_model/artifacts/daily_error_details/20260504_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260503-071753_target_20260504.csv,day_ahead_frozen,prediction_log
2026-05-05,2026-06-09T11:09:24.580840+02:00,2026-05-03T07:02:23.032000+02:00,2026-05-03,2.2524122807017544,2.166661956644895,2.6449512219999454,2.550308293242462,0.08575032405685956,0.09464292875748326,7.705921052631578,8.75,5.662106374899547,24,next_day_wind_model/artifacts/daily_error_details/20260505_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260504-071755_target_20260505.csv,day_ahead_frozen,prediction_log
2026-05-06,2026-06-09T11:09:24.580840+02:00,2026-05-04T07:02:22.148000+02:00,2026-05-04,1.2775584795321637,2.119695192749737,1.7437728689857674,2.4104695544048336,-0.8421367132175734,-0.6666966854190661,7.097441520467837,8.25,5.226789196332295,24,next_day_wind_model/artifacts/daily_error_details/20260506_dayahead_actual_forecast_lstm.csv,next_day_wind_model/artifacts/dayahead_snapshots/20260505-071755_target_20260506.csv,day_ahead_frozen,prediction_log
